,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Rape+Kidnap,Urban,Population,crimes/population
878,GUJARAT,SURAT COMMR.,2002,4.0358744394618836e-06,8.071748878923767e-06,54,1,4460000,1.210762331838565e-05
1816,MAHARASHTRA,MUMBAI,2003,7.228260869565218e-06,4.619565217391304e-06,218,1,18400000,1.1847826086956522e-05
4633,KARNATAKA,BANGALORE COMMR.,2007,7.354685646500593e-06,4.151838671411625e-06,97,1,8430000,1.1506524317912219e-05
255,KARNATAKA,BANGALORE COMMR.,2001,4.744958481613286e-06,6.6429418742586005e-06,96,1,8430000,1.1387900355871885e-05
7,ANDHRA PRADESH,HYDERABAD CITY,2001,5.433186490455213e-06,5.7268722466960354e-06,76,1,6810000,1.1160058737151248e-05
6919,KARNATAKA,BANGALORE COMMR.,2010,7.71055753262159e-06,3.4400948991696325e-06,94,1,8430000,1.1150652431791222e-05
2423,KARNATAKA,BANGALORE COMMR.,2004,3.7959667852906287e-06,7.236061684460261e-06,93,1,8430000,1.103202846975089e-05
8162,WEST BENGAL,KOLKATA,2011,3.087248322147651e-06,7.785234899328859e-06,162,1,14900000,1.087248322147651e-05
7223,TAMIL NADU,CHENNAI,2010,6.629055007052186e-06,4.231311706629055e-06,77,1,7090000,1.086036671368124e-05
162,GUJARAT,SURAT COMMR.,2001,2.4663677130044845e-06,8.295964125560539e-06,48,1,4460000,1.0762331838565022e-05
6446,TAMIL NADU,CHENNAI,2009,5.500705218617771e-06,5.218617771509168e-06,76,1,7090000,1.0719322990126939e-05
972,KARNATAKA,BANGALORE COMMR.,2002,3.7959667852906287e-06,6.880189798339265e-06,90,1,8430000,1.0676156583629893e-05
3443,TAMIL NADU,CHENNAI,2005,6.064880112834979e-06,4.3723554301833565e-06,74,1,7090000,1.0437235543018336e-05
1087,MAHARASHTRA,MUMBAI,2002,6.956521739130435e-06,3.315217391304348e-06,189,1,18400000,1.0271739130434783e-05
