,States/UTs,District,Year,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women_Total,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women
440,Maharashtra,Ratnagiri,2014,34,0,0,0,34,3,31,1,8,8,0,0,0,0,0,59,19,0,0,16,24,10,0,0,0,10,26,0,5,8,2,0,7,7,0,0,0,0,1,0,1,30,4,0,1,0,67,0,0,0,0,0,0,0,0,0,0,1,264
441,Maharashtra,Sangli,2014,66,0,0,0,66,1,65,1,48,9,0,0,32,7,6,157,39,3,1,8,106,5,0,0,0,5,108,0,14,5,0,0,13,13,0,0,0,0,0,0,0,16,0,0,40,0,84,0,0,0,0,3,0,0,0,1,2,2,568
442,Maharashtra,Satara,2014,97,0,0,0,97,4,93,0,69,28,0,0,39,2,4,241,89,6,3,34,109,12,0,0,0,12,188,0,29,8,5,0,9,9,0,0,0,0,9,0,9,96,2,0,44,0,122,0,0,0,0,3,1,0,0,1,1,12,950
443,Maharashtra,Sindhudurg,2014,12,0,0,0,12,0,12,1,8,1,0,0,5,2,0,42,29,2,0,11,0,7,0,0,1,6,4,0,4,0,0,5,6,6,0,0,0,0,0,0,0,10,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,180
444,Maharashtra,Solapur Commr.,2014,39,0,0,0,39,1,38,0,30,12,0,0,18,0,3,52,20,2,0,5,25,7,0,0,0,7,52,0,11,7,0,0,5,5,0,0,0,0,1,0,1,62,1,0,0,0,138,0,0,0,0,1,0,0,0,0,1,2,411
445,Maharashtra,Solapur Rural,2014,97,0,0,0,97,2,95,2,72,8,0,0,40,24,2,227,72,24,1,22,108,23,0,0,0,23,122,0,34,14,3,0,31,31,0,0,0,0,1,0,1,4,4,0,37,0,53,0,0,0,0,0,0,0,0,0,0,1,727
446,Maharashtra,Thane Commr.,2014,215,0,0,0,215,3,212,0,246,178,0,2,16,50,13,559,309,8,13,52,177,73,3,6,0,64,351,0,37,10,0,1,38,38,0,0,0,0,5,0,5,892,2,12,5,2,964,0,0,0,0,13,5,2,1,0,5,1,3439
447,Maharashtra,Thane Rural,2014,75,0,0,0,75,2,73,0,36,29,0,1,2,4,3,165,29,7,4,15,110,39,0,0,0,39,103,0,20,6,0,0,6,6,0,0,0,0,1,0,1,125,4,0,11,0,389,0,0,0,0,15,7,0,0,0,8,6,1004
448,Maharashtra,Wardha,2014,62,0,0,0,62,2,60,0,28,0,0,0,25,3,1,192,32,2,0,6,152,8,0,0,0,8,98,0,9,12,0,0,3,3,0,0,0,0,1,0,1,0,3,0,0,0,117,1,0,0,0,0,0,0,0,0,0,0,535
449,Maharashtra,Washim,2014,33,0,0,0,33,1,32,0,22,8,0,0,14,0,5,178,178,0,0,0,0,11,0,0,0,11,113,0,10,20,0,0,22,22,0,0,0,0,1,0,1,17,0,0,15,1,121,1,0,0,0,0,0,0,0,0,0,16,586
450,Maharashtra,Yavatmal,2014,108,0,0,0,108,8,100,0,135,22,0,0,99,14,12,466,58,28,1,13,366,504,0,0,0,504,301,0,22,30,0,0,24,24,0,0,0,0,0,0,0,29,0,0,0,0,376,3,0,0,0,3,0,0,0,0,3,27,2040
451,Maharashtra,Total,2014,3438,0,0,0,3438,126,3312,15,2457,1042,1,8,1046,360,279,10001,4052,309,105,797,4738,1575,10,48,8,1509,7696,1,851,522,32,7,881,877,2,2,1,3,115,2,113,4695,48,87,986,17,14835,39,0,0,4,202,79,5,33,7,78,380,49167
679,Uttar Pradesh,Agra,2014,77,2,0,2,75,7,68,14,347,298,0,0,49,0,87,281,237,19,3,22,0,0,0,0,0,0,389,0,41,17,5,0,40,39,1,0,0,13,1,1,0,11,0,0,19,0,162,6,0,0,2,4,4,0,0,0,0,64,1580
680,Uttar Pradesh,Aligarh,2014,112,0,0,0,112,20,92,53,404,404,0,0,0,0,69,307,105,29,0,0,173,0,0,0,0,0,455,0,39,17,5,0,20,18,2,0,0,0,0,0,0,27,0,0,15,0,608,0,0,0,0,0,0,0,0,0,0,82,2213
681,Uttar Pradesh,Allahabad,2014,109,16,0,16,93,27,66,0,268,82,0,0,186,0,53,309,206,44,3,56,0,4,0,0,0,4,355,0,23,0,0,0,3,0,2,1,0,0,0,0,0,57,0,0,24,0,321,0,0,0,0,3,3,0,0,0,0,39,1568
682,Uttar Pradesh,Ambedkar Nagar,2014,20,0,0,0,20,2,18,0,58,0,0,0,58,0,11,16,16,0,0,0,0,0,0,0,0,0,41,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35,0,0,0,0,0,0,0,0,0,37,243
683,Uttar Pradesh,Amethi,2014,27,0,0,0,27,2,25,0,104,42,0,0,62,0,15,78,0,0,0,0,78,0,0,0,0,0,47,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,66,425
