,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
7316,UTTAR PRADESH,LUCKNOW,2010,75,320,66,155,0,745,0
7317,UTTAR PRADESH,MAHARAJGANJ,2010,16,45,14,11,0,50,0
7318,UTTAR PRADESH,MAHOBA,2010,9,15,14,28,0,18,0
7319,UTTAR PRADESH,MAINPURI,2010,15,66,28,37,0,16,0
7320,UTTAR PRADESH,MATHURA,2010,24,79,29,49,0,219,0
7321,UTTAR PRADESH,MAU,2010,10,41,17,30,0,49,0
7322,UTTAR PRADESH,MEERUT,2010,64,147,43,91,0,344,0
7323,UTTAR PRADESH,MIRZAPUR,2010,2,3,25,4,0,137,0
7324,UTTAR PRADESH,MORADABAD,2010,66,184,41,76,0,268,0
7325,UTTAR PRADESH,MUZAFFARNAGAR,2010,34,174,40,52,0,341,0
7326,UTTAR PRADESH,PILIBHIT,2010,16,54,30,25,0,113,0
7327,UTTAR PRADESH,PRATAPGARH,2010,23,64,34,25,0,74,0
7328,UTTAR PRADESH,RAIBAREILLY,2010,27,47,20,39,0,63,0
7329,UTTAR PRADESH,RAMABAI NAGAR,2010,12,80,22,38,0,88,0
7330,UTTAR PRADESH,RAMPUR,2010,65,96,23,44,0,121,0
7331,UTTAR PRADESH,SAHARANPUR,2010,11,35,26,20,0,140,0
7332,UTTAR PRADESH,SANT KABIRNAGAR,2010,24,44,6,17,0,25,0
7333,UTTAR PRADESH,SHAHJAHANPUR,2010,45,85,50,44,0,12,0
7334,UTTAR PRADESH,SHRAWASTI,2010,14,23,16,19,0,3,0
7335,UTTAR PRADESH,SIDHARTHNAGAR,2010,8,38,15,17,0,33,0
7336,UTTAR PRADESH,SITAPUR,2010,11,109,45,54,0,111,0
7337,UTTAR PRADESH,SONBHADRA,2010,21,20,20,13,0,16,0
7338,UTTAR PRADESH,ST.RAVIDASNAGAR,2010,1,9,11,3,0,8,0
7339,UTTAR PRADESH,SULTANPUR,2010,14,49,16,41,0,62,0
7340,UTTAR PRADESH,UNNAO,2010,32,76,26,57,0,74,0
7341,UTTAR PRADESH,VARANASI,2010,9,71,26,14,0,166,0
7342,UTTAR PRADESH,TOTAL,2010,1563,5468,2217,2793,11,7978,0
8056,UTTAR PRADESH,AGRA,2011,76,328,87,196,0,341,0
8057,UTTAR PRADESH,ALIGARH,2011,66,265,73,194,0,256,0
8058,UTTAR PRADESH,ALLAHABAD,2011,67,190,75,93,1,266,0
8059,UTTAR PRADESH,AMBEDKAR NAGAR,2011,16,74,16,33,0,88,0
8060,UTTAR PRADESH,AURAIYA,2011,15,73,25,14,0,26,0
8061,UTTAR PRADESH,AZAMGARH,2011,28,101,27,27,0,49,0
8062,UTTAR PRADESH,BADAUN,2011,18,115,48,62,0,59,0
8063,UTTAR PRADESH,BAGHPAT,2011,12,74,17,35,0,106,0
8064,UTTAR PRADESH,BAHRAICH,2011,57,128,62,49,0,55,0
8065,UTTAR PRADESH,BALLIA,2011,7,64,17,21,0,27,0
8066,UTTAR PRADESH,BALRAMPUR,2011,10,50,16,13,0,0,0
8067,UTTAR PRADESH,BANDA,2011,26,48,29,56,0,31,0
8068,UTTAR PRADESH,BARABANKI,2011,36,142,25,51,0,51,0
8069,UTTAR PRADESH,BAREILLY,2011,34,193,63,92,0,155,0
8070,UTTAR PRADESH,BASTI,2011,7,28,11,5,0,17,0
8071,UTTAR PRADESH,BHIM NAGAR,2011,34,105,29,43,0,61,0
8072,UTTAR PRADESH,BIJNOR,2011,39,118,30,14,0,238,0
8073,UTTAR PRADESH,BULANDSHAHAR,2011,47,192,50,94,0,362,0
8074,UTTAR PRADESH,CHANDOLI,2011,8,19,17,7,0,48,0
8075,UTTAR PRADESH,CHITRAKOOT DHAM,2011,20,22,14,24,0,11,0
8076,UTTAR PRADESH,CSM NAGAR,2011,20,96,17,40,0,53,0
8077,UTTAR PRADESH,DEORIA,2011,8,53,27,12,0,24,0
8078,UTTAR PRADESH,ETAH,2011,19,61,30,25,0,57,0
8079,UTTAR PRADESH,ETAWAH,2011,13,73,42,28,0,52,0
8080,UTTAR PRADESH,FAIZABAD,2011,27,114,11,56,0,21,0
8081,UTTAR PRADESH,FATEHGARH,2011,16,83,25,35,0,59,0
8082,UTTAR PRADESH,FATEHPUR,2011,40,92,45,55,0,45,0
8083,UTTAR PRADESH,FIROZABAD,2011,32,144,43,57,0,83,0
8084,UTTAR PRADESH,G.R.P.,2011,2,6,1,38,0,0,0
8085,UTTAR PRADESH,GAUTAMBUDH NAGAR,2011,25,95,25,42,0,102,0
8086,UTTAR PRADESH,GHAZIABAD,2011,22,219,47,59,0,255,0
8087,UTTAR PRADESH,GHAZIPUR,2011,11,18,35,16,0,26,0
8088,UTTAR PRADESH,GONDA,2011,34,116,27,29,0,6,0
8089,UTTAR PRADESH,GORAKHPUR,2011,50,215,41,71,0,224,0
8090,UTTAR PRADESH,HAMIRPUR,2011,12,38,15,33,0,20,0
8091,UTTAR PRADESH,HARDOI,2011,24,123,32,55,0,72,0
8092,UTTAR PRADESH,HATHRAS,2011,35,77,24,42,0,84,0
8093,UTTAR PRADESH,J.P.NAGAR,2011,44,50,16,21,0,83,0
8094,UTTAR PRADESH,JALAUN,2011,7,47,40,18,0,22,0
8095,UTTAR PRADESH,JAUNPUR,2011,14,90,42,22,0,41,0
8096,UTTAR PRADESH,JHANSI,2011,19,92,28,45,0,52,0
8097,UTTAR PRADESH,KANNAUJ,2011,14,101,34,49,0,98,0
8098,UTTAR PRADESH,KANPUR NAGAR,2011,71,303,69,140,2,284,0
8099,UTTAR PRADESH,KANSHIRAM NAGAR,2011,22,47,22,33,0,21,0
8100,UTTAR PRADESH,KAUSHAMBI,2011,23,40,22,36,0,31,0
8101,UTTAR PRADESH,KHIRI,2011,35,132,57,76,0,57,0
8102,UTTAR PRADESH,KUSHI NAGAR,2011,13,75,35,11,0,31,0
8103,UTTAR PRADESH,LALITPUR,2011,15,30,14,52,0,26,0
8104,UTTAR PRADESH,LUCKNOW,2011,55,283,48,142,0,511,0
8105,UTTAR PRADESH,MAHARAJGANJ,2011,18,42,26,15,0,12,0
8106,UTTAR PRADESH,MAHOBA,2011,16,31,15,41,0,31,0
8107,UTTAR PRADESH,MAINPURI,2011,33,92,34,52,0,52,0
8108,UTTAR PRADESH,MATHURA,2011,39,123,36,76,0,226,0
8109,UTTAR PRADESH,MAU,2011,19,60,7,31,0,64,0
8110,UTTAR PRADESH,MEERUT,2011,79,271,36,99,0,400,0
8111,UTTAR PRADESH,MIRZAPUR,2011,3,5,20,3,0,34,0
8112,UTTAR PRADESH,MORADABAD,2011,55,174,30,48,0,210,0
8113,UTTAR PRADESH,MUZAFFARNAGAR,2011,19,179,25,37,0,203,0
8114,UTTAR PRADESH,PANCHSHIL NAGAR,2011,18,78,15,25,0,72,0
8115,UTTAR PRADESH,PILIBHIT,2011,12,62,39,31,0,69,0
8116,UTTAR PRADESH,PRABUDDH NAGAR,2011,11,52,10,13,0,83,0
8117,UTTAR PRADESH,PRATAPGARH,2011,24,85,31,35,0,121,0
8118,UTTAR PRADESH,RAIBAREILLY,2011,29,55,16,36,0,51,0
8119,UTTAR PRADESH,RAMABAI NAGAR,2011,21,83,29,35,0,65,0
8120,UTTAR PRADESH,RAMPUR,2011,43,98,26,27,0,86,0
8121,UTTAR PRADESH,SAHARANPUR,2011,21,82,32,16,0,135,0
8122,UTTAR PRADESH,SANT KABIRNAGAR,2011,17,48,6,12,0,19,0
8123,UTTAR PRADESH,SHAHJAHANPUR,2011,40,130,47,54,0,28,0
8124,UTTAR PRADESH,SHRAWASTI,2011,16,36,16,26,0,1,0
8125,UTTAR PRADESH,SIDHARTHNAGAR,2011,9,42,17,21,0,29,0
8126,UTTAR PRADESH,SITAPUR,2011,66,202,60,131,0,138,0
8127,UTTAR PRADESH,SONBHADRA,2011,19,21,8,21,0,16,0
8128,UTTAR PRADESH,ST.RAVIDASNAGAR,2011,2,6,11,3,0,10,0
8129,UTTAR PRADESH,SULTANPUR,2011,21,46,14,23,0,58,0
8130,UTTAR PRADESH,UNNAO,2011,36,104,30,66,0,85,0
8131,UTTAR PRADESH,VARANASI,2011,11,76,41,17,0,136,0
8132,UTTAR PRADESH,TOTAL,2011,2042,7525,2322,3455,3,7121,0
8862,UTTAR PRADESH,AGRA,2012,58,255,88,134,0,320,0
8863,UTTAR PRADESH,ALIGARH,2012,64,263,71,101,0,268,0
8864,UTTAR PRADESH,ALLAHABAD,2012,52,202,63,79,0,247,0
8865,UTTAR PRADESH,AMBEDKAR NAGAR,2012,12,61,9,10,0,75,0
8866,UTTAR PRADESH,AURAIYA,2012,13,87,18,27,0,40,0
8867,UTTAR PRADESH,AZAMGARH,2012,19,101,25,28,0,101,0
8868,UTTAR PRADESH,BADAUN,2012,24,101,47,48,0,65,0
8869,UTTAR PRADESH,BAGHPAT,2012,18,74,19,26,0,76,0
8870,UTTAR PRADESH,BAHRAICH,2012,27,111,38,28,0,4,0
8871,UTTAR PRADESH,BALLIA,2012,12,79,28,22,0,51,0
8872,UTTAR PRADESH,BALRAMPUR,2012,12,53,5,17,0,4,0
8873,UTTAR PRADESH,BANDA,2012,22,48,36,58,0,51,0
8874,UTTAR PRADESH,BARABANKI,2012,31,120,31,39,0,114,0
8875,UTTAR PRADESH,BAREILLY,2012,86,249,61,112,0,88,0
8876,UTTAR PRADESH,BASTI,2012,7,55,21,17,0,69,0
8877,UTTAR PRADESH,BHIM NAGAR,2012,23,91,27,30,0,64,0
8878,UTTAR PRADESH,BIJNOR,2012,43,148,19,43,0,257,0
8879,UTTAR PRADESH,BULANDSHAHAR,2012,46,164,48,63,2,304,0
8880,UTTAR PRADESH,CHANDOLI,2012,11,32,14,23,0,37,0
8881,UTTAR PRADESH,CHITRAKOOT DHAM,2012,31,27,22,35,0,23,0
8882,UTTAR PRADESH,CSM NAGAR,2012,26,92,12,52,0,56,0
8883,UTTAR PRADESH,DEORIA,2012,18,67,29,16,0,34,0
8884,UTTAR PRADESH,ETAH,2012,22,99,38,62,0,82,0
8885,UTTAR PRADESH,ETAWAH,2012,9,64,26,26,0,42,0
8886,UTTAR PRADESH,FAIZABAD,2012,29,133,18,32,0,7,0
8887,UTTAR PRADESH,FATEHGARH,2012,14,94,34,39,0,71,0
8888,UTTAR PRADESH,FATEHPUR,2012,35,106,41,65,0,56,0
8889,UTTAR PRADESH,FIROZABAD,2012,32,149,50,49,0,98,0
8890,UTTAR PRADESH,G.R.P.,2012,3,7,2,36,0,0,0
8891,UTTAR PRADESH,GAUTAMBUDH NAGAR,2012,19,115,17,50,0,142,0
8892,UTTAR PRADESH,GHAZIABAD,2012,31,220,41,60,0,277,0
8893,UTTAR PRADESH,GHAZIPUR,2012,9,53,32,16,0,60,0
8894,UTTAR PRADESH,GONDA,2012,23,103,37,40,0,5,0
8895,UTTAR PRADESH,GORAKHPUR,2012,52,207,53,56,0,180,0
8896,UTTAR PRADESH,HAMIRPUR,2012,25,40,17,37,0,28,0
8897,UTTAR PRADESH,HARDOI,2012,30,133,48,54,0,87,0
8898,UTTAR PRADESH,HATHRAS,2012,17,71,18,39,0,91,0
8899,UTTAR PRADESH,J.P.NAGAR,2012,34,58,19,31,0,82,0
8900,UTTAR PRADESH,JALAUN,2012,15,57,40,32,0,47,0
8901,UTTAR PRADESH,JAUNPUR,2012,15,111,51,18,0,55,0
8902,UTTAR PRADESH,JHANSI,2012,19,63,33,34,0,53,0
8903,UTTAR PRADESH,KANNAUJ,2012,12,75,27,36,0,106,0
8904,UTTAR PRADESH,KANPUR NAGAR,2012,55,281,56,110,0,317,0
8905,UTTAR PRADESH,KANSHIRAM NAGAR,2012,18,56,26,36,0,26,0
8906,UTTAR PRADESH,KAUSHAMBI,2012,11,49,20,31,0,46,0
8907,UTTAR PRADESH,KHIRI,2012,34,169,51,59,0,57,0
8908,UTTAR PRADESH,KUSHI NAGAR,2012,30,94,28,22,0,28,0
8909,UTTAR PRADESH,LALITPUR,2012,14,22,7,27,0,13,0
8910,UTTAR PRADESH,LUCKNOW,2012,48,304,32,110,2,538,0
8911,UTTAR PRADESH,MAHARAJGANJ,2012,34,95,20,14,0,23,0
8912,UTTAR PRADESH,MAHOBA,2012,16,43,20,48,0,24,0
8913,UTTAR PRADESH,MAINPURI,2012,15,117,39,51,0,81,0
8914,UTTAR PRADESH,MATHURA,2012,41,124,34,75,0,235,0
8915,UTTAR PRADESH,MAU,2012,9,81,11,31,0,92,0
8916,UTTAR PRADESH,MEERUT,2012,54,231,39,129,0,435,0
8917,UTTAR PRADESH,MIRZAPUR,2012,4,6,24,3,0,29,0
8918,UTTAR PRADESH,MORADABAD,2012,36,140,28,72,3,255,0
8919,UTTAR PRADESH,MUZAFFARNAGAR,2012,27,177,16,38,0,225,0
8920,UTTAR PRADESH,PANCHSHIL NAGAR,2012,15,51,17,22,0,56,0
8921,UTTAR PRADESH,PILIBHIT,2012,10,62,25,15,0,79,0
8922,UTTAR PRADESH,PRABUDDH NAGAR,2012,7,62,12,14,0,55,0
8923,UTTAR PRADESH,PRATAPGARH,2012,36,109,24,53,0,72,0
8924,UTTAR PRADESH,RAIBAREILLY,2012,36,91,23,46,0,50,0
8925,UTTAR PRADESH,RAMABAI NAGAR,2012,18,74,28,32,0,77,0
8926,UTTAR PRADESH,RAMPUR,2012,26,95,12,32,0,138,0
8927,UTTAR PRADESH,SAHARANPUR,2012,18,91,27,17,1,113,0
8928,UTTAR PRADESH,SANT KABIRNAGAR,2012,18,49,12,5,0,10,0
8929,UTTAR PRADESH,SHAHJAHANPUR,2012,27,120,51,48,0,73,0
8930,UTTAR PRADESH,SHRAWASTI,2012,22,40,18,20,0,1,0
8931,UTTAR PRADESH,SIDHARTHNAGAR,2012,22,47,8,13,0,35,0
8932,UTTAR PRADESH,SITAPUR,2012,49,224,45,94,0,125,0
8933,UTTAR PRADESH,SONBHADRA,2012,21,28,17,18,0,21,0
8934,UTTAR PRADESH,ST.RAVIDASNAGAR,2012,4,18,7,6,0,13,0
8935,UTTAR PRADESH,SULTANPUR,2012,26,63,15,29,0,84,0
8936,UTTAR PRADESH,UNNAO,2012,41,174,44,81,0,141,0
8937,UTTAR PRADESH,VARANASI,2012,21,85,35,26,0,177,0
8938,UTTAR PRADESH,TOTAL,2012,1963,7910,2244,3247,8,7661,0
