,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
1322,UTTAR PRADESH,GAUTAMBUDH NAGAR,2002,19,29,17,20,30,42,0
1323,UTTAR PRADESH,GHAZIABAD,2002,20,69,21,35,108,176,0
1324,UTTAR PRADESH,GHAZIPUR,2002,4,7,14,12,12,50,0
1325,UTTAR PRADESH,GONDA,2002,11,23,29,20,16,27,0
1326,UTTAR PRADESH,GORAKHPUR,2002,27,39,30,28,19,56,0
1327,UTTAR PRADESH,HAMIRPUR,2002,9,6,17,34,4,28,0
1328,UTTAR PRADESH,HARDOI,2002,39,36,26,54,36,72,0
1329,UTTAR PRADESH,HATHRAS,2002,25,30,21,41,12,107,0
1330,UTTAR PRADESH,J.P.NAGAR,2002,15,27,10,22,10,80,0
1331,UTTAR PRADESH,JALAUN,2002,4,14,22,19,17,22,0
1332,UTTAR PRADESH,JAUNPUR,2002,8,15,23,18,10,45,0
1333,UTTAR PRADESH,JHANSI,2002,14,11,14,21,2,42,0
1334,UTTAR PRADESH,KANNAUJ,2002,6,16,15,10,2,37,0
1335,UTTAR PRADESH,KANPUR DEHAT,2002,13,31,37,26,3,73,0
1336,UTTAR PRADESH,KANPUR NAGAR,2002,30,126,50,75,123,307,0
1337,UTTAR PRADESH,KAUSHAMBI,2002,28,15,13,25,2,32,0
1338,UTTAR PRADESH,KHIRI,2002,41,50,66,45,14,97,0
1339,UTTAR PRADESH,KUSHI NAGAR,2002,7,15,18,22,35,7,0
1340,UTTAR PRADESH,LALITPUR,2002,10,1,9,14,13,5,0
1341,UTTAR PRADESH,LUCKNOW,2002,43,147,59,92,105,369,0
1342,UTTAR PRADESH,MAHARAJGANJ,2002,13,0,6,15,11,10,0
1343,UTTAR PRADESH,MAHOBA,2002,5,0,13,21,5,0,0
1344,UTTAR PRADESH,MAINPURI,2002,9,27,42,17,0,38,0
1345,UTTAR PRADESH,MATHURA,2002,16,32,29,40,45,94,0
1346,UTTAR PRADESH,MAU,2002,15,23,6,29,22,41,0
1347,UTTAR PRADESH,MEERUT,2002,35,74,26,47,87,212,0
1348,UTTAR PRADESH,MIRZAPUR,2002,7,11,15,15,8,28,0
1349,UTTAR PRADESH,MORADABAD,2002,36,59,35,53,75,174,0
1350,UTTAR PRADESH,MUZAFFARNAGAR,2002,30,60,37,34,30,163,0
1351,UTTAR PRADESH,PILIBHIT,2002,41,34,33,19,70,103,0
1352,UTTAR PRADESH,PRATAPGARH,2002,18,16,27,18,4,36,0
1353,UTTAR PRADESH,RAIBAREILLY,2002,35,35,26,46,22,110,0
1354,UTTAR PRADESH,RAMPUR,2002,20,38,11,36,14,106,0
1355,UTTAR PRADESH,SAHARANPUR,2002,15,55,24,19,42,216,0
1356,UTTAR PRADESH,SANT KABIRNAGAR,2002,4,0,6,6,3,16,0
1357,UTTAR PRADESH,SHAHJAHANPUR,2002,40,38,49,52,35,83,0
1358,UTTAR PRADESH,SHRAWASTI,2002,3,5,3,16,19,12,0
1359,UTTAR PRADESH,SIDHARTHNAGAR,2002,6,18,6,19,4,11,0
1360,UTTAR PRADESH,SITAPUR,2002,73,61,83,65,13,66,0
1361,UTTAR PRADESH,SONBHADRA,2002,5,5,8,8,8,8,0
1362,UTTAR PRADESH,ST.RAVIDASNAGAR,2002,0,2,4,1,1,18,0
1363,UTTAR PRADESH,SULTANPUR,2002,23,28,20,22,15,66,0
1364,UTTAR PRADESH,UNNAO,2002,34,55,57,70,8,118,0
1365,UTTAR PRADESH,VARANASI,2002,16,36,34,23,110,104,0
1366,UTTAR PRADESH,TOTAL,2002,1415,2298,1893,2145,1887,5679,0
2024,UTTAR PRADESH,AGRA,2003,27,73,55,59,55,183,0
2025,UTTAR PRADESH,ALIGARH,2003,24,60,33,27,14,108,0
2026,UTTAR PRADESH,ALLAHABAD,2003,21,19,40,12,27,77,0
2027,UTTAR PRADESH,AMBEDKAR NAGAR,2003,7,15,10,6,7,16,0
2028,UTTAR PRADESH,AURAIYA,2003,4,10,16,11,24,13,0
2029,UTTAR PRADESH,AZAMGARH,2003,6,23,16,18,39,45,0
2030,UTTAR PRADESH,BADAUN,2003,31,40,28,29,89,15,0
2031,UTTAR PRADESH,BAGHPAT,2003,12,14,10,9,45,23,0
2032,UTTAR PRADESH,BAHRAICH,2003,5,8,7,8,271,17,0
2033,UTTAR PRADESH,BALLIA,2003,2,3,8,8,25,8,0
2034,UTTAR PRADESH,BALRAMPUR,2003,3,4,3,1,45,6,0
2035,UTTAR PRADESH,BANDA,2003,10,6,13,15,17,10,0
2036,UTTAR PRADESH,BARABANKI,2003,12,19,16,11,50,27,0
2037,UTTAR PRADESH,BAREILLY,2003,32,47,37,27,78,84,0
2038,UTTAR PRADESH,BASTI,2003,5,11,14,9,161,15,0
2039,UTTAR PRADESH,BIJNOR,2003,20,23,24,23,254,50,0
2040,UTTAR PRADESH,BULANDSHAHAR,2003,13,30,25,26,98,105,0
2041,UTTAR PRADESH,CHANDOLI,2003,3,2,11,5,14,3,0
2042,UTTAR PRADESH,CHITRAKOOT DHAM,2003,10,0,6,7,0,7,0
2043,UTTAR PRADESH,DEORIA,2003,3,12,21,7,9,14,0
2044,UTTAR PRADESH,ETAH,2003,18,23,38,19,15,37,0
2045,UTTAR PRADESH,ETAWAH,2003,2,9,16,12,6,18,0
2046,UTTAR PRADESH,FAIZABAD,2003,10,11,4,6,42,2,0
2047,UTTAR PRADESH,FATEHGARH,2003,7,9,18,9,68,19,0
2048,UTTAR PRADESH,FATEHPUR,2003,3,14,24,4,19,15,0
2049,UTTAR PRADESH,FIROZABAD,2003,12,32,30,33,89,51,0
2050,UTTAR PRADESH,G.R.P.,2003,3,1,0,6,24,0,0
2051,UTTAR PRADESH,GAUTAMBUDH NAGAR,2003,10,19,14,13,19,23,0
2052,UTTAR PRADESH,GHAZIABAD,2003,15,49,17,18,65,97,0
2053,UTTAR PRADESH,GHAZIPUR,2003,2,8,11,3,24,24,0
2054,UTTAR PRADESH,GONDA,2003,5,8,16,3,215,4,0
2055,UTTAR PRADESH,GORAKHPUR,2003,13,32,18,22,25,36,0
2056,UTTAR PRADESH,HAMIRPUR,2003,10,4,12,15,5,2,0
2057,UTTAR PRADESH,HARDOI,2003,24,31,18,30,83,37,0
2058,UTTAR PRADESH,HATHRAS,2003,21,23,10,19,21,74,0
2059,UTTAR PRADESH,J.P.NAGAR,2003,6,14,13,4,121,24,0
2060,UTTAR PRADESH,JALAUN,2003,6,8,22,11,13,15,0
2061,UTTAR PRADESH,JAUNPUR,2003,4,13,22,6,45,29,0
2062,UTTAR PRADESH,JHANSI,2003,4,8,8,4,209,5,0
2063,UTTAR PRADESH,KANNAUJ,2003,4,22,16,14,28,29,0
2064,UTTAR PRADESH,KANPUR DEHAT,2003,6,20,22,15,118,19,0
2065,UTTAR PRADESH,KANPUR NAGAR,2003,24,57,43,40,147,94,0
2066,UTTAR PRADESH,KAUSHAMBI,2003,17,4,16,7,9,5,0
2067,UTTAR PRADESH,KHIRI,2003,28,40,35,30,213,60,0
2068,UTTAR PRADESH,KUSHI NAGAR,2003,5,9,12,11,97,14,0
2069,UTTAR PRADESH,LALITPUR,2003,5,4,5,4,60,3,0
2070,UTTAR PRADESH,LUCKNOW,2003,38,98,29,63,302,216,0
2071,UTTAR PRADESH,MAHARAJGANJ,2003,4,10,4,7,56,2,0
2072,UTTAR PRADESH,MAHOBA,2003,2,5,9,13,7,3,0
2073,UTTAR PRADESH,MAINPURI,2003,7,19,31,10,6,13,0
2074,UTTAR PRADESH,MATHURA,2003,16,26,18,21,36,65,0
2075,UTTAR PRADESH,MAU,2003,5,10,9,10,69,10,0
2076,UTTAR PRADESH,MEERUT,2003,40,55,31,31,165,199,0
2077,UTTAR PRADESH,MIRZAPUR,2003,6,6,12,6,4,8,0
2078,UTTAR PRADESH,MORADABAD,2003,43,43,24,25,158,112,0
2079,UTTAR PRADESH,MUZAFFARNAGAR,2003,32,36,29,23,205,73,0
2080,UTTAR PRADESH,PILIBHIT,2003,21,20,13,9,137,0,0
2081,UTTAR PRADESH,PRATAPGARH,2003,9,19,24,7,12,38,0
2082,UTTAR PRADESH,RAIBAREILLY,2003,20,25,16,36,102,38,0
2083,UTTAR PRADESH,RAMPUR,2003,13,21,12,12,7,5,0
2084,UTTAR PRADESH,SAHARANPUR,2003,17,50,10,17,70,77,0
2085,UTTAR PRADESH,SANT KABIRNAGAR,2003,0,4,10,5,43,10,0
2086,UTTAR PRADESH,SHAHJAHANPUR,2003,17,60,28,17,63,11,0
2087,UTTAR PRADESH,SHRAWASTI,2003,3,4,4,2,18,5,0
2088,UTTAR PRADESH,SIDHARTHNAGAR,2003,2,7,8,4,7,11,0
2089,UTTAR PRADESH,SITAPUR,2003,47,40,50,53,36,37,0
2090,UTTAR PRADESH,SONBHADRA,2003,5,4,11,7,15,6,0
2091,UTTAR PRADESH,ST.RAVIDASNAGAR,2003,2,1,5,2,3,9,0
2092,UTTAR PRADESH,SULTANPUR,2003,18,19,19,10,81,38,0
2093,UTTAR PRADESH,UNNAO,2003,23,19,42,28,195,45,0
2094,UTTAR PRADESH,VARANASI,2003,7,7,21,4,71,33,0
2095,UTTAR PRADESH,TOTAL,2003,911,1499,1322,1098,4970,2626,0
2753,UTTAR PRADESH,AGRA,2004,32,106,70,87,89,282,0
2754,UTTAR PRADESH,ALIGARH,2004,58,87,36,45,31,228,0
2755,UTTAR PRADESH,ALLAHABAD,2004,23,53,57,24,35,148,0
2756,UTTAR PRADESH,AMBEDKAR NAGAR,2004,10,26,4,6,5,26,0
2757,UTTAR PRADESH,AURAIYA,2004,4,21,20,11,2,16,0
2758,UTTAR PRADESH,AZAMGARH,2004,16,37,27,23,10,150,0
2759,UTTAR PRADESH,BADAUN,2004,35,43,50,47,19,37,0
2760,UTTAR PRADESH,BAGHPAT,2004,11,18,16,12,22,56,0
2761,UTTAR PRADESH,BAHRAICH,2004,16,26,16,12,35,24,0
2762,UTTAR PRADESH,BALLIA,2004,6,12,11,15,13,33,0
